,,,,,,,,,
 ,,,,,,,,,
"$1,895.82",Payment Received,PayPal Fee,Postage,Other Costs,,"Purchase Price
Offset",,MovieList Key,Flags
9/6/2021,$9.50,-$0.58,-$3.45,,Barbra Steisand - The Television Specials,,$5.47,,DoNotMatch
9/6/2021,$7.50,-$0.52,-$3.19,,Now and Then,,$3.79,,
9/7/2021,$6.00,-$0.47,-$3.19,,Prison Break Season 2,,$2.34,,
9/7/2021,$15.00,-$0.74,-$3.19,,Magnum PI Season 2,,$11.08,,
9/8/2021,$8.00,-$0.53,-$3.82,,Andromeda Season 1,-$2.00,$1.65,,
9/8/2021,$14.00,-$0.71,-$3.19,,Small Time Crooks,,$10.10,,
9/9/2021,$7.50,-$0.52,-$3.19,,Abbot and Costello Meet the Monsters Collection,,$3.79,,DoNotMatch
9/10/2021,$6.75,-$0.50,-$3.19,,Castle Season 1,,$3.06,,
9/11/2021,$7.50,-$0.52,-$3.19,,Vikings Season 1,$0.59,$4.38,,
9/11/2021,$9.50,-$0.58,-$3.19,,The Vampire Diaries Season 4,$0.59,$6.32,,
9/11/2021,$6.00,-$0.47,-$3.19,,Justified Season 3,$0.59,$2.93,,
9/11/2021,$7.00,-$0.50,-$3.19,,Magnum PI Season 1,-$2.00,$1.31,,
9/11/2021,$9.00,-$0.56,-$3.19,,The Power of Nightmares,-$0.30,$4.95,,
9/11/2021,,,,-$35.00,Purchased DVDs,,,,
9/12/2021,$12.50,-$0.66,-$3.19,,NOVA: Dogs Decoded,,$8.65,,DoNotMatch
9/12/2021,$11.50,-$0.63,-$3.19,,Steam to State Fair,,$7.68,,
9/12/2021,$15.00,-$0.74,-$3.19,,Thunder Bay,,$11.08,,
9/13/2021,$8.00,-$0.53,-$3.19,,Murder She Wrote Season 5,,$4.28,,
9/13/2021,$15.00,-$0.74,-$3.19,,Prohibition,,$11.08,,
9/13/2021,$7.00,-$0.50,-$3.19,,Ruthless People / Down and Out in Beverly Hills,,$3.31,,doNotMatch
9/13/2021,$15.00,-$0.74,-$3.19,,Janis Little Girl Blue,,$11.08,,
9/13/2021,,$0.00,,-$33.59,Purchased padded mailers,,-$33.59,,
9/14/2021,$21.00,-$0.91,-$4.12,,Smallville Season 10,-$2.00,$13.97,,
9/14/2021,$7.00,-$0.50,-$3.19,,Return to Snowy River,$0.34,$3.65,,
9/14/2021,$14.00,-$0.71,-$3.19,,Penny Dreadful City of Angels Season 1,-$14.30,-$4.20,,
9/14/2021,$7.00,-$0.50,-$3.19,,South Park Season 9,$0.59,$3.90,,
9/14/2021,$8.50,-$0.55,-$3.19,,Tosh 0 Deep Vs,$0.59,$5.35,,
9/15/2021,,$0.00,,-$9.74,Purchased cardboard DVD mailers,,-$9.74,,
9/15/2021,$14.00,-$0.71,-$3.19,,Animal Kingdom Season 2,,$10.10,,
9/20/2021,$7.50,-$0.52,-$3.19,,Only You,,$3.79,,
9/20/2021,$8.50,-$0.55,-$3.19,,South Park Season 8,$0.59,$5.35,,
9/22/2021,$7.00,-$0.50,-$3.19,,Moon 44,,$3.31,,
9/23/2021,$7.00,-$0.50,-$3.19,,ER Season 2,-$2.00,$1.31,,
9/23/2021,$10.00,-$0.59,-$3.19,,The Brady Bunch Season 3,-$2.00,$4.22,,
9/23/2021,$9.00,-$0.56,-$3.19,,South Park Season 5,$0.59,$5.84,,
9/23/2021,,$0.00,,-$26.53,Purchased padded mailers,,-$26.53,,
9/24/2021,$32.00,-$1.23,-$3.57,,Christy Complete Series,,$27.20,,
9/25,,$0.00,,-$84.00,Purchased DVDs,,-$84.00,,
9/27/2021,$13.00,-$0.68,-$3.19,,Babylon 5 Seaon 1,-$2.00,$7.13,,
9/27/2021,$7.50,-$0.52,-$3.19,,The Vampire Diaries Season 3,$0.59,$4.38,,
9/27/2021,$9.00,-$0.56,-$3.19,,Eye of the Needle,,$5.25,,
9/27/2021,$8.50,-$0.55,-$3.19,,"Motley Crue: Lewd, Crued and Tatooed",,$4.76,,
9/27/2021,$11.00,-$0.62,-$3.19,,And Man Created Dog,$0.59,$7.78,,
9/27/2021,$6.50,-$0.49,-$3.19,,Scrubs Season 7,,$2.82,,
10/1/2021,$7.00,-$0.50,-$3.19,,Ancient Mysteries Lost Cities,,$3.31,,
10/1/2021,$6.00,-$0.47,-$3.19,,Scarlett,,$2.34,,
10/1/2021,$6.50,-$0.49,-$3.19,,First Reformed,,$2.82,,
10/1/2021,$7.00,-$0.50,-$3.19,,Mankind Complete Series,$0.59,$3.90,,
10/1/2021,$6.25,-$0.48,-$3.19,,How the West Was Won,,$2.58,,
10/1/2021,$6.50,-$0.49,-$3.19,,Orla Fallon Celtic Christmas,,$2.82,,doNotMatch
10/1/2021,$8.50,-$0.55,-$3.19,,Ancient Aliens Season 2,$0.59,$5.35,,
10/1/2021,$6.50,-$0.49,-$3.19,,MASH Season 1,-$2.00,$0.82,,
10/2/2021,$10.50,-$0.60,-$3.19,,Castle Season 1,,$6.71,,
10/4/2021,$5.50,-$0.46,-$3.19,,Bernie the Dolphin,$0.80,$2.65,,doNotMatch
10/4/2021,$13.00,-$0.68,-$3.19,,Rodgers and Hammersten Triple Feature,,$9.13,,doNotMatch
10/4/2021,$7.00,-$0.50,-$3.19,,Requiem for a Heavyweight,,$3.31,,
10/5/2021,$7.00,-$0.50,-$3.19,,Will and Grace Season 5,,$3.31,,
10/5/2021,$8.00,-$0.53,-$3.19,,Contact,,$4.28,,
10/8/2021,$13.00,-$0.68,-$3.82,,Babylon 5 Season 3,,$8.50,,
10/8/2021,$9.00,-$0.56,-$3.19,,Gabriell Iglesias Hot and Fluffy,,$5.25,,
10/9/2021,$9.00,-$0.56,-$3.19,,Daphne and Dave Deluxe 4 CD Set,,$5.25,,doNotMatch
10/11/2021,$8.50,-$0.55,-$3.19,,South Park Season 11,$0.59,$5.35,,
10/11/2021,$6.00,-$0.47,-$3.19,,North to Alaska,$0.59,$2.93,,
10/11/2021,$6.00,-$0.47,-$3.82,,Andromeda Season 2,-$2.00,-$0.29,,
10/13/2021,$10.00,-$0.59,-$3.19,,Elvira Mistress of the Dark,,$6.22,,
10/16/2021,$13.00,-$0.68,-$3.19,,Supernatural Season 8,,$9.13,,
10/16/2021,,$0.00,,-$24.00,Purchased DVDs,,-$24.00,,
10/18/2021,$7.00,-$0.50,-$3.19,,Alice,,$3.31,,
10/19/2021,$9.00,-$0.56,-$3.19,,Veep Season 5,-$2.00,$3.25,,
10/25/2021,$9.00,-$0.56,-$3.19,,Curb Your Enthusiasm Season 9,,$5.25,,
10/26/2021,$9.00,-$0.56,-$3.19,,Armed and Dangerous,,$5.25,,
10/28/2021,$9.00,-$0.56,-$3.19,,Good Times Season 3,,$5.25,,
10/30/2021,,$0.00,,-$10.00,Purchased DVDs,,-$10.00,,
10/30/2021,,$0.00,,-$13.01,Purchased lens wipes,,-$13.01,,
10/31/2021,$8.00,-$0.53,-$3.19,,The Sopranos Season 2,,$4.28,,
10/31/2021,$8.00,-$0.53,-$3.19,,Louie Season 2,,$4.28,,
11/3/2021,$6.00,-$0.47,-$3.19,,Criminal Minds Season 3,,$2.34,,
11/3/2021,$7.00,-$0.50,-$3.19,,Mr Peabody and Sherman The Complete Collection,,$3.31,,
11/3/2021,$5.50,-$0.46,-$3.19,,A Dark Place disc only,,$1.85,,doNotMatch
11/5/2021,$10.50,-$0.60,-$3.19,,Fleetwood Mac The Dance,-$1.00,$5.71,,
11/6/2021,$15.00,-$0.74,-$3.19,,Lost Season 5,-$3.00,$8.08,,
11/6/2021,$6.25,-$0.48,-$3.19,,Six Feet Under Season 4,-$1.00,$1.58,,
11/8/2021,$32.00,-$1.23,-$3.19,,The Real Eve,,$27.58,,
11/8/2021,$8.50,-$0.55,-$3.19,,Mad Men Season 5,,$4.76,,
11/9/2021,$6.50,-$0.49,-$3.19,,The Last Seduction,,$2.82,,
11/9/2021,$19.00,-$0.85,-$3.19,,Lost Season 6,-$3.00,$11.96,,
11/9/2021,$8.00,-$0.53,-$3.19,,Dexter Season 7,,$4.28,,
11/9/2021,$9.50,-$0.58,-$3.19,,Dexter Season 6,,$5.73,,
11/10/2021,$13.00,-$0.68,-$3.19,,Lost Season 4,,$9.13,,
11/11/2021,$5.50,-$0.46,-$3.19,,Orphan Black Season 1,-$3.75,-$1.90,,
11/12/2021,$13.00,-$0.68,-$3.82,,Dr Quinn Medicine Woman Season 1,$0.59,$9.09,,
11/12/2021,$6.00,-$0.47,-$3.19,,Animaniacs Season 1,,$2.34,,
11/13/2021,$6.50,-$0.49,-$3.19,,The Newsroom Season 1,,$2.82,,
11/15/2021,$6.00,-$0.47,-$3.19,,The Equalizer 2 disc only,-$0.80,$1.54,,doNotMatch
11/15/2021,$11.50,-$0.63,-$3.19,,Run Ronnie Run,,$7.68,,
11/15/2021,$6.00,-$0.47,-$3.19,,Men in Black International,-$0.80,$1.54,,
11/16/2021,$6.00,-$0.47,-$3.19,,The Equalizer 2 BLU-RAY disc only,-$0.80,$1.54,,doNotMatch
11/17/2021,$17.00,-$0.79,-$3.19,,Real Men,,$13.02,,
11/17/2021,$13.00,-$0.68,-$3.19,,Clint Eastwood Seven Film Collection,,$9.13,,doNotMatch
11/18/2021,$6.00,-$0.47,-$3.76,,The Santa Clause,$0.50,$2.27,,
11/18/2021,$7.50,-$0.52,-$3.19,,Veep Season 4,,$3.79,,
11/19/2021,$5.00,-$0.45,-$3.19,,Christmas with The Kranks,,$1.37,,
11/19/2021,$5.50,-$0.46,-$3.19,,Rudolph the Red Nosed Reindeer,,$1.85,,
11/19/2021,$5.50,-$0.46,-$3.19,,How The Grinch Stole Christmas,,$1.85,,
11/19/2021,$5.50,-$0.46,-$3.19,,How The Grinch Stole Christmas,$0.50,$2.35,,
11/19/2021,$6.75,-$0.50,-$3.19,,Sugar and Spice,,$3.06,,
11/20/2021,$5.50,-$0.46,-$3.19,,The Santa Clause 2,,$1.85,,
11/20/2021,$5.00,-$0.45,-$3.19,,A Christmas Carol,$0.50,$1.87,,
11/20/2021,$5.50,-$0.46,-$3.19,,How the Grinch Stole Christmas,$0.50,$2.35,,
11/20/2021,$9.50,-$0.58,-$3.19,,Cream at Royal Albert Hall,,$5.73,,
11/20/2021,,$0.00,,-$32.50,Purchased padded mailers,,-$32.50,,
11/21/2021,$18.00,-$0.82,-$3.19,,The Christmas Card,$0.50,$14.49,,
11/21/2021,$6.50,-$0.49,-$3.19,,Touched by an Angel Season 3,-$2.00,$0.82,,
11/22/2021,$5.50,-$0.46,-$3.19,,Christmas Vacation,,$1.85,,
11/22/2021,$9.00,-$0.56,-$3.19,,Mickeys Christmas Carol,,$5.25,,
11/22/2021,$5.50,-$0.46,-$3.19,,Samta Claus is Comin to Town,,$1.85,,
11/23/2021,$9.00,-$0.56,-$3.89,,The Pacific,-$1.00,$3.55,,
11/23/2021,$6.50,-$0.49,-$3.19,,John Adams,,$2.82,,
11/24/2021,$6.00,-$0.47,-$3.19,,The Polar Express,$0.50,$2.84,,
11/24/2021,$6.50,-$0.49,-$3.19,,Blues Story,,$2.82,,
11/25/2021,$6.00,-$0.47,-$3.19,,Fantastic Beasts: The Crimes of Grindelwald DISC ONLY,$0.80,$3.14,,doNotMatch
11/25/2021,$11.00,-$0.62,-$3.19,,Studio Classics: Set 2,$0.34,$7.53,,doNotMatch
11/25/2021,$5.50,-$0.46,-$3.19,,White Christmas,$0.50,$2.35,,
11/29/2021,$5.25,-$0.45,-$3.19,,Surviving Christmas,,$1.61,,
11/29/2021,$6.50,-$0.49,-$3.19,,The Wizard of Oz,,$2.82,,
11/29/2021,$6.00,-$0.47,-$3.19,,Christmas Lodge,$0.50,$2.84,,
11/30/2021,$6.00,-$0.47,-$3.19,,Elf,,$2.34,,
11/30/2021,$8.00,-$0.53,-$3.19,,Law and Order SVU Season 1,,$4.28,,
12/3/2021,$7.50,-$0.52,-$3.19,,The Best of the Johhnnyh Cash TV Show,,$3.79,,doNotMatch
12/3/2021,$6.50,-$0.49,-$3.19,,Rudolph the Red Nosed Reindeer,,$2.82,,
12/3/2021,$8.00,-$0.53,-$3.19,,Bronson BLU-RAY,,$4.28,,doNotMatch
12/6/2021,$6.50,-$0.49,-$3.19,,,,$2.82,,
12/9/2021,$16.00,-$0.76,-$3.19,,Its Always Sunny Season 8,,$12.05,,
12/10/2021,$18.00,-$0.82,-$3.19,,We Can Be Heroes Season 1,,$13.99,,
12/10/2021,$6.00,-$0.47,-$3.19,,Criminal Minds Season 4,$0.30,$2.64,,
12/11/2021,$6.50,-$0.49,-$3.19,,Criminal Minds Season 2,$0.30,$3.12,,
12/11/2021,$6.50,-$0.49,-$3.19,,Battlestar Galactica The Movie,,$2.82,,
12/11/2021,$5.50,-$0.46,-$3.19,,Chip n Dales Rescue Rangers Vol 1,,$1.85,,doNotMatch
12/17/2021,$8.50,-$0.55,-$3.19,,The Cobbler,$0.30,$5.06,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
,,$0.00,,,,,$0.00,,
