,,$48.00,Gold by Mira Kubasinska CD,,,$11.19,Average Sale Price,,,
 ,,-$233.35,Inventory cost (DVDs and CDs),,,$9.75,Median Sale Price,,,
$7.22,,64,Current Day Streak,,,,,,,
,,64,Longest streak (Jan 01 to Mar 05),,,,,,,
,,,,,,,,,,
$493.89,Payment Received,Sales Fees,Postage,Other Costs,Title,"Purchase Price
Offset",Net Gain,MovieList Key,Flags,Group ID
1/17/2026,$15.00,-$2.84,-$4.47,,This Time for Keeps / Dangerous When Wet,$0.87,$8.56,,doNotMatch,2515
1/17/2026,$14.25,-$2.71,-$4.47,,Ciao Italia Live from Italy,-$0.24,$6.83,,,2511
1/18/2026,$10.00,-$1.99,-$4.47,,The Beatles Complete Cartoons,-$1.17,$2.37,,doNotMatch,2530
1/18/2026,$11.00,-$2.16,-$4.47,,Uncut Deep Roots A Celebration Of Topic Records,$0.79,$5.16,,,2411
1/18/2026,$8.25,-$1.69,-$4.47,,The Helen Morgan Story,$0.87,$2.95,,,2515
1/18/2026,-$37.00,$5.95,-$4.47,,Hemispheres by Jim Hall and Bill Frisell,$0.71,-$34.81,,,2529
1/19/2026,$9.00,-$1.82,-$4.47,,The Richard Pryor Show,$0.03,$2.74,,doNotMatch,2509
1/19/2026,$12.00,-$2.33,-$4.47,,Charles Dickens Collectors Set,$0.03,$5.23,,doNotMatch,2509
1/19/2026,$15.00,-$2.84,-$4.47,,Sombrero,$0.87,$8.56,,,2515
1/20/2026,$7.50,-$1.57,-$4.47,,The Essential Bugs Bunny,-$1.17,$0.30,,,2530
1/20/2026,$48.00,-$8.41,-$4.47,,Gold by Mira Kubasinska CD,$0.76,$35.87,,,2426
1/20/2026,$17.50,-$3.26,-$4.47,,The X Files Season 7,-$0.29,$9.48,,,2528
1/20/2026,$13.00,-$2.50,-$4.47,,Luxury Liner,$0.87,$6.90,,,2515
1/20/2026,$11.50,-$2.24,-$1.00,,Athena,$0.87,$9.12,,,2515
1/20/2026,$27.00,-$4.86,-$4.47,,The Broken Circle Breakdown,$0.60,$18.27,,,2514
1/21/2026,$19.50,-$3.60,-$4.47,,Film Music by Gabriel Yared CD,$0.71,$12.14,,,2529
1/21/2026,$11.00,-$2.16,-$4.47,,Chasing the Rabbit by Gale Trippsmith CD,$0.76,$5.13,,,2426
1/21/2026,$9.00,-$1.82,-$1.00,,Hurricane Gumbo by Hurricane Gumbo CD,$0.77,$6.94,,,2420
1/21/2026,$7.00,-$1.48,-$1.00,,Phosphorescent Blues by Punch Brothers CD,$0.75,$5.26,,,2506
1/21/2026,$7.00,-$1.48,-$1.00,,Barber Orchestral Works Vol 1 by Marin Alsop CD,$0.64,$5.15,,,2513
1/21/2026,$8.75,-$1.78,-$1.00,,Big as the Sky by AM Sixty CD,$0.64,$6.61,,,2513
1/21/2026,$7.50,-$1.57,-$4.47,,Gilligans Island Season 2,-$1.39,$0.07,,,2521
1/21/2026,$11.00,-$2.16,-$8.94,,Another Earth,$0.50,$0.40,,,2512
1/22/2026,$9.00,-$1.82,-$4.47,,My Cherie by Sheena Easton CD,$0.64,$3.35,,,2513
1/23/2026,$7.75,-$1.61,-$4.47,,The Prodigal,$0.87,$2.54,,,2515
1/23/2026,$8.00,-$1.65,-$4.47,,The Substitute / The Substitute 3,$0.08,$1.96,,doNotMatch,2519
1/24/2026,,,,-$20.00,Purchased DVDs,,,,,
1/24/2026,$7.75,-$1.61,-$4.47,,Taxi Driver,-$1.17,$0.50,,,2530
1/24/2026,$11.00,-$2.16,-$4.47,,Trancend by Second Chance CD,$0.72,$5.09,,,2311
