,,,,,,,,,
$285.87,Payment Received,PayPal Fee,Postage,Other Costs,,,,DVD Cost:,1
2/18/2015,$5.24,-$0.45,-$2.09,,Return of the Living Dead 5,,$1.70,,
2/19/2015,$3.14,-$0.39,-$2.09,,Ali,,-$0.34,,
2/19/2015,$3.24,-$0.39,-$2.09,,Bad Santa,,-$0.24,,
2/19/2015,$3.44,-$0.40,-$2.09,,Critters,,-$0.05,,
2/19/2015,$3.84,-$0.41,-$2.09,,Harry Potter and the Prisoner of Azkaban,,$0.34,,
2/19/2015,$3.54,-$0.40,-$2.09,,Hellboy,,$0.05,,
2/19/2015,$3.34,-$0.40,-$2.09,,Space Cowboys,,-$0.15,,
2/19/2015,$7.24,-$0.51,-$2.09,,The Self-Destruction of the Ultimate Warrior,,$3.64,,
2/20/2015,,,,-$61.11,eBay Fees,,-$62.11,,
2/20/2015,$4.94,-$0.44,-$2.09,,The Beast,,$1.41,,
2/20/2015,$3.34,-$0.40,-$2.09,,Up In Smoke,,-$0.15,,
2/21/2015,$6.64,-$0.49,-$2.09,,Creature Comforts,,$3.06,,
2/21/2015,$3.84,-$0.41,-$2.25,,Fast Food Nation,,$0.18,,
2/21/2015,$20.14,-$0.88,-$2.92,,Kojak Season 2,,$15.34,,
2/21/2015,$3.24,-$0.39,-$2.76,,Rocky Collector's Editon,,-$0.91,,
2/22/2015,$3.34,-$0.40,-$2.01,,50/50,,-$0.07,,
2/22/2015,$5.88,-$0.47,-$3.01,,"Blade 2
Suicide Kings",,$1.40,,
2/22/2015,$2.94,-$0.39,-$2.25,,Deeply,,-$0.70,,
2/22/2015,$3.84,-$0.41,-$2.09,,Friday,,$0.34,,
2/22/2015,$3.94,-$0.41,-$2.09,,Goodfellas,,$0.44,,
2/22/2015,$2.94,-$0.39,-$2.09,,Mystic River,,-$0.54,,
2/22/2015,$3.44,-$0.40,-$2.01,,Once Upon a Time in the West,,$0.03,,
2/22/2015,$2.94,-$0.39,-$2.01,,Syriana,,-$0.46,,
2/22/2015,$3.64,-$0.41,-$2.09,,The Curious Case of Benjamin Button,,$0.14,,
2/22/2015,$3.24,-$0.39,-$2.09,,Torque,,-$0.24,,
2/22/2015,$3.24,-$0.39,-$2.09,,Vacancy,,-$0.24,,
2/22/2015,$5.64,-$0.46,-$2.25,,Wake Island / To Hell and Back / ...,,$1.93,,
2/22/2015,$5.74,-$0.47,-$2.76,,Why We Fight,,$1.51,,
2/23/2015,$2.84,-$0.38,-$2.09,,Saw,,-$0.63,,
2/23/2015,$6.94,-$0.50,-$2.25,,The Butler,,$3.19,,
2/24/2015,$3.24,-$0.39,-$2.09,,Ace Ventura: When Nature Calls,,-$0.24,,
2/24/2015,$6.74,-$0.50,,,Curb Your Enthusiasm Season 4,,$5.24,,
2/24/2015,$4.54,-$0.43,,,Eastbound and Down Season 1,,$3.11,,
2/24/2015,$3.94,-$0.41,-$2.09,,The Game,,$0.44,,
2/25/2015,$6.14,-$0.48,-$2.09,,Armageddon,,$2.57,,
2/25/2015,$3.74,-$0.41,-$2.25,,Field of Dreams,,$0.08,,
2/25/2015,$3.24,-$0.39,-$2.09,,Paranormal Activity 2 Blu-ray,,-$0.24,,
2/25/2015,$3.24,-$0.39,-$2.09,,Shooter,,-$0.24,,
2/25/2015,$2.94,-$0.39,-$2.09,,The Corruptor,,-$0.54,,
2/26/2015,$3.24,-$0.39,-$2.09,,Ace Ventura: Pet Detective,,-$0.24,,
2/26/2015,$8.84,-$0.56,-$2.09,,American Masters: Margaret Mitchell,,$5.19,,
2/26/2015,$3.94,-$0.41,-$2.09,,Bottle Rocket,,$0.44,,
2/26/2015,$2.94,-$0.39,-$2.09,,March of the Penguins,,-$0.54,,
2/26/2015,$3.54,-$0.40,-$2.09,,"Thundercats, S1V1, Discs 3&4",,$0.05,,
3/1/2015,$3.24,-$0.39,-$2.09,,21,,-$0.24,,
3/1/2015,$3.04,-$0.39,-$2.25,,From Dusk Till Dawn,,-$0.60,,
3/1/2015,$3.24,-$0.39,-$2.09,,Harold and Kumar go to White Castle,,-$0.24,,
3/1/2015,$7.94,-$0.53,-$3.11,,Led Zepplin DVD,,$3.30,,
3/1/2015,$3.24,-$0.39,-$2.01,,Military History Collector's Set,,-$0.16,,
3/1/2015,$3.24,-$0.39,-$2.42,,Newlyweds Season 1,,-$0.57,,
3/1/2015,$3.74,-$0.41,-$2.93,,Pulp Fiction,,-$0.60,,
3/1/2015,,,,-$20.00,Purchased DVDs,,-$21.00,,
3/1/2015,$3.24,-$0.39,-$2.09,,Radio,,-$0.24,,
3/1/2015,$3.64,-$0.41,-$2.25,,UFC 51 - Super Saturday,,-$0.02,,
3/2/2015,$3.04,-$0.39,-$2.09,,Daredevil,,-$0.44,,
3/2/2015,$7.94,-$0.53,-$2.09,,Iron Monkey Blu-ray,,$4.32,,
3/2/2015,$2.94,-$0.39,-$2.09,,Jerry Maguire,,-$0.54,,
3/2/2015,$9.94,-$0.59,-$2.09,,Newsies,,$6.26,,
3/2/2015,$3.94,-$0.41,-$2.09,,Se7en,,$0.44,,
3/2/2015,$3.24,-$0.39,-$2.09,,Stardust,,-$0.24,,
3/2/2015,$3.64,-$0.41,-$2.09,,The Legend of Bagger Vance,,$0.14,,
3/2/2015,$3.14,-$0.39,-$2.09,,Transformers: Revenge of the Fallen,,-$0.34,,
3/2/2015,$3.24,-$0.39,-$2.09,,Varsity Blues,,-$0.24,,
3/2/2015,$3.24,-$0.39,-$2.09,,Victory at Sea Volume II,,-$0.24,,
3/3/2015,$3.14,-$0.39,-$2.09,,Divine Secrets of the Ya-Ya Sisterhood,,-$0.34,,
3/3/2015,$3.34,-$0.40,-$3.11,,Entourage Season 2,,-$1.17,,
