 ,,,,,,,,,
"$1,418.91",Payment Received,PayPal Fee,Postage,Other Costs,,Category,,DVD Cost:,1
5/22/2017,$5.00,-$0.45,-$2.77,,Once Bitten,,$0.79,,
5/22/2017,$6.00,-$0.47,-$2.77,,Percy Jackson: Sea of Monsters Blu-Ray,,$1.76,,
5/22/2017,$4.75,-$0.44,-$2.61,,The West Wing Season  4 Disc 3,,$0.70,,
5/22/2017,$5.25,-$0.45,-$2.77,,The Gift,$0.50,$1.53,,
5/22/2017,$5.00,-$0.45,-$2.77,,Free Ride,,$0.79,,
5/22/2017,$5.75,-$0.47,-$2.77,,Sabrina,,$1.51,,
5/23/2017,$7.00,-$0.50,-$2.77,,Do It for Uncle Manny,,$2.73,,
5/23/2017,$6.75,-$0.50,-$2.77,,Despicable Me,$0.50,$2.98,,
5/23/2017,$7.00,-$0.50,-$2.77,,Videodrome,$0.50,$3.23,,
5/24/2017,$5.25,-$0.45,-$2.77,,Let Me In,,$1.03,,
5/24/2017,$8.75,-$0.55,-$2.77,,Innocent Blood,,$4.43,,
5/24/2017,$5.00,-$0.45,$0.00,,"Fort Apache, The Bronx",$0.50,$4.06,,
5/24/2017,$5.00,-$0.45,-$2.61,,All in the Family Season 6 Replacement Disc 3,,$0.95,,
5/24/2017,$13.00,-$0.68,-$2.77,,Samurai Jack Season 3,,$8.55,,
5/24/2017,$5.25,-$0.45,-$2.77,,Robin Williams - Live on Broadway,,$1.03,,
5/24/2017,$15.00,-$0.74,-$3.12,,Daria Complete Animated Series,,$10.15,,
5/26/2017,$8.00,-$0.53,-$2.77,,Divergent Series: Insurgent,,$3.70,,
5/26/2017,$7.75,-$0.52,-$2.77,,Ghost World,$0.50,$3.96,,
5/27/2017,$13.00,-$0.68,-$2.77,,Fire and Ice,$0.50,$9.05,,
5/27/2017,$5.00,-$0.45,-$2.77,,The Big Bang Theory Season 1,-$4.63,-$3.85,,
5/27/2017,$8.50,-$0.55,-$2.77,,Tripping the Rift Season 1,$0.50,$4.68,,
5/27/2017,$8.50,-$0.55,-$2.77,,Six Feet Under Season 5,,$4.18,,
5/27/2017,,,,-$51.00,Purchased DVDs,,,,
5/29/2017,$7.00,-$0.50,-$2.77,,The Addams Family / Addams Family Values,$0.50,$3.23,,
5/29/2017,$4.75,-$0.44,-$2.77,,The Curious Case of Benjamin Button,,$0.54,,
5/29/2017,$9.00,-$0.56,-$2.77,,Cougar Town Season 2,-$2.00,$2.67,,
5/29/2017,$4.75,-$0.44,-$2.77,,Warm Bodies,,$0.54,,
5/29/2017,$7.75,-$0.52,-$2.77,,American Yakuza,,$3.46,,
6/1/2017,$9.50,-$0.58,-$2.77,,The Human Centipede,,$5.15,,
6/1/2017,$5.75,-$0.47,-$2.61,,House Season 3,-$2.00,-$0.33,,
