,,,,,,,,,
 ,,,,,,,,,
$820.94,Payment Received,PayPal Fee,Postage,Other Costs,,Purchase Price Offset,,DVD Cost:,1.15
7/1/2020,$15.00,-$0.74,-$2.80,,CSI: Crime Scene Investigation Season 7,$0.35,$10.67,,
7/1/2020,$28.00,-$1.11,-$2.80,,Life on Mars Season 1,$0.69,$23.63,,
7/2/2020,$6.50,-$0.49,-$2.80,,The Odd Couple Season 1,,$2.06,,
7/3/2020,$7.50,-$0.52,-$2.80,,Rurouni Kenshin Samurai,,$3.03,,
7/3/2020,$10.00,-$0.59,-$2.80,,CSI: Crime Scene Investigation Season 8,$0.35,$5.81,,
7/6/2020,$6.00,-$0.47,-$2.80,,Hawaii Five-0 Season 1 Disc 2 REPLACEMENT DISC,$0.80,$2.38,,
7/6/2020,$7.00,-$0.50,-$2.80,,Oz Season 2,,$2.55,,
7/7/2020,$6.50,-$0.49,-$2.80,,S.F.W.,$0.65,$2.71,,
7/8/2020,$8.00,-$0.53,-$2.80,,Bride of Chucky,$0.75,$4.27,,
7/18/2020,,$0.00,,,,,-$1.15,,
7/25/2020,,$0.00,,,,,-$1.15,,
8/1/2020,,$0.00,,,,,-$1.15,,
8/8/2020,,$0.00,,,,,-$1.15,,
8/15/2020,,$0.00,,,,,-$1.15,,
8/22/2020,,$0.00,,,,,-$1.15,,
8/29/2020,,$0.00,,,,,-$1.15,,
9/5/2020,,$0.00,,,,,-$1.15,,
9/12/2020,,$0.00,,-$12.00,Purchased DVDs (estimated),,-$13.15,,
9/19/2020,,$0.00,,-$25.00,Purchased DVDs (estimated),,-$26.15,,
9/19/2020,,,,-$37.45,eBay Fees,,,,
9/26/2020,,$0.00,,-$21.00,Purchased DVDs (estimated),,-$22.15,,
10/3/2020,,$0.00,,-$24.00,Purchased DVDs,,-$25.15,,
10/10/2020,,$0.00,,-$150.00,Purchased DVDs,,-$151.15,,
10/11/2020,,$0.00,,-$14.86,Purchsed padded mailers,,-$16.01,,
10/18/2020,$11.00,-$0.62,-$2.80,,Perfect Sisters,,$6.43,,
10/21/2020,,$0.00,,$15.42,eBay Fees,,$14.27,,
10/26/2020,$9.00,-$0.56,-$2.80,,,,$4.49,,
10/29/2020,$8.00,-$0.53,-$2.80,,Multiplicity,,$3.52,,
10/31/2020,,$0.00,,-$7.00,Purchased DVDs,,-$8.15,,
10/31/2020,$13.00,-$0.68,-$2.80,,Real Genius,,$8.37,,
11/2/2020,$25.00,-$1.03,-$2.80,,Men at Work,,$20.03,,
11/6/2020,$9.00,-$0.56,-$2.80,,,,$4.49,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
,,$0.00,,,,,-$1.15,,
